Year,Age,Germans M,Germans F,Foreigners M,Foreigners F
1995,15 years,419461,400287,53320,48712
1995,16 years,396973,377403,53364,48083
1995,17 years,391455,372018,54926,48018
1995,18 years,388053,368508,56766,51389
1995,19 years,378521,361440,63242,58235
1995,20 years,365738,347841,69861,65628
1995,21 years,372220,356629,75291,71915
1995,22 years,379108,364088,82351,76853
1995,23 years,427948,410280,89743,80371
1995,24 years,488712,467219,93407,81441
1995,25 years,514562,493680,101929,82308
1995,26 years,566440,542105,102749,81350
1995,27 years,602471,577572,103141,78588
1995,28 years,627719,603081,97964,73226
1995,29 years,646372,621699,102778,73806
1995,30 years,653951,626038,104660,72269
1995,31 years,668730,643192,101770,69495
1995,32 years,668918,644925,96301,64494
1995,33 years,650272,628418,89653,61280
1995,34 years,647728,627067,78388,56138
1995,35 years,624509,606609,83139,58391
1995,36 years,612388,591644,73323,53654
1995,37 years,581565,562114,71302,50956
1995,38 years,572502,554830,68110,48714
1995,39 years,556926,540824,69468,50660
1995,40 years,543214,526066,63977,51493
1995,41 years,537343,522643,58150,51437
1995,42 years,523977,511250,52501,49922
1995,43 years,525843,511676,53318,52849
1995,44 years,518207,506300,50443,48509
1995,45 years,518321,506517,57317,54354
1995,46 years,502752,490331,57278,50726
1995,47 years,461000,450980,57568,48219
1995,48 years,432107,429017,57044,44644
1995,49 years,379667,378625,52535,39891
1995,50 years,334947,339712,47588,36258
1995,51 years,465655,466949,45282,33827
1995,52 years,478869,478434,43922,31043
1995,53 years,463867,466688,45661,30740
1995,54 years,573335,578196,42108,27496
1995,55 years,604726,614775,45549,29235
1995,56 years,597157,610259,40898,25490
1995,57 years,557547,572524,38492,24572
1995,58 years,522302,539805,34770,21999
1995,59 years,510227,533376,31553,20135
1995,60 years,496341,521063,26939,17920
1995,61 years,460914,489127,25885,16138
1995,62 years,367622,397046,23666,15083
1995,63 years,367180,401319,19548,13424
1995,64 years,374068,415403,16606,11620
1996,15 years,419145,400838,53835,48006
1996,16 years,421606,402534,55400,49818
1996,17 years,398744,379361,55337,49281
1996,18 years,393489,374215,57265,50899
1996,19 years,390084,371251,59550,56104
1996,20 years,380317,364117,67798,63431
1996,21 years,367549,350460,74442,70081
1996,22 years,373926,358974,80320,76005
1996,23 years,380524,366327,87280,80469
1996,24 years,429465,412431,93808,83449
1996,25 years,489926,469013,96393,83627
1996,26 years,515721,495341,104646,84068
1996,27 years,567408,543417,104245,82876
1996,28 years,603413,578625,104061,79936
1996,29 years,628483,604268,98389,74352
1996,30 years,647250,622770,102939,74601
1996,31 years,654859,627255,104365,72864
1996,32 years,669861,644493,100990,69950
1996,33 years,670111,646417,95540,64866
1996,34 years,651476,629893,88659,61679
1996,35 years,648962,628682,77395,56165
1996,36 years,625762,608234,82058,58317
1996,37 years,613497,593264,72052,53644
1996,38 years,582612,563643,70015,50801
1996,39 years,573391,556028,66900,48593
1996,40 years,557735,542057,68046,50527
1996,41 years,543997,527359,62640,51337
1996,42 years,537707,523673,56773,51238
1996,43 years,524100,512142,51251,49555
1996,44 years,525705,512509,51819,52467
1996,45 years,517867,506837,49346,48246
1996,46 years,517918,507019,55873,53941
1996,47 years,502089,490596,55867,50354
1996,48 years,460032,450916,56298,47860
1996,49 years,431081,428752,55934,44455
1996,50 years,378297,378126,51421,39672
1996,51 years,333405,339232,46430,35883
1996,52 years,462985,465764,44184,33514
1996,53 years,475798,477078,42939,30697
1996,54 years,461081,465477,44453,30386
1996,55 years,569269,576665,41141,27204
1996,56 years,599904,612864,44582,28977
1996,57 years,591918,608268,40030,25272
1996,58 years,552286,570680,37756,24417
1996,59 years,516741,537571,34125,21878
1996,60 years,503912,530932,30409,19731
1996,61 years,489376,518160,25712,17463
1996,62 years,453743,485923,24913,15858
1996,63 years,360980,394145,22731,14722
1996,64 years,360144,398159,18717,13123
1997,15 years,426493,405134,50279,45550
1997,16 years,421598,403528,53943,47599
1997,17 years,423769,405043,55871,49576
1997,18 years,401034,381934,55978,50555
1997,19 years,395824,377085,58040,54173
1997,20 years,392325,374013,61654,59886
1997,21 years,382633,366869,69327,66334
1997,22 years,369729,353208,76407,72545
1997,23 years,375802,361387,82248,77731
1997,24 years,382324,368667,88180,81248
1997,25 years,431240,414503,93575,83520
1997,26 years,491533,470884,95271,83124
1997,27 years,517231,497065,102816,83590
1997,28 years,568718,544854,101832,81879
1997,29 years,604716,580022,101002,78631
1997,30 years,629598,605450,94869,72946
1997,31 years,648448,624058,98975,73161
1997,32 years,656205,628702,100221,71373
1997,33 years,671183,646094,96712,68181
1997,34 years,671552,648009,91215,63216
1997,35 years,652955,631640,84654,59952
1997,36 years,650478,630473,73478,54475
1997,37 years,627311,610128,77884,56650
1997,38 years,614873,595043,68059,51868
1997,39 years,583999,565282,66075,49330
1997,40 years,574530,557710,63412,47032
1997,41 years,558676,543506,64232,49051
1997,42 years,544851,528930,59084,49797
1997,43 years,538231,524966,53459,49679
1997,44 years,524307,513202,48110,48108
1997,45 years,525758,513547,48935,51128
1997,46 years,517709,507650,46758,46934
1997,47 years,517517,507616,53272,52624
1997,48 years,501528,490992,53365,49123
1997,49 years,459217,451008,54046,46766
1997,50 years,429953,428645,53805,43425
1997,51 years,376889,377684,49634,38835
1997,52 years,331839,338614,44931,35091
1997,53 years,460092,464456,42669,32835
1997,54 years,472699,475742,41543,29865
1997,55 years,458117,464426,42957,29527
1997,56 years,565135,575043,39686,26375
1997,57 years,595067,611012,42908,28104
1997,58 years,586518,606307,38682,24430
1997,59 years,546907,568868,36415,23568
1997,60 years,511195,535460,32317,20886
1997,61 years,497596,528503,28741,18767
1997,62 years,482363,515281,24274,16557
1997,63 years,446293,482663,23440,15041
1997,64 years,354569,391200,21458,13981
1998,15 years,418489,398496,45349,41162
1998,16 years,428777,407376,49815,44440
1998,17 years,423611,405721,54462,46880
1998,18 years,425892,407462,56223,50500
1998,19 years,403349,384748,57342,53483
1998,20 years,398048,380085,60519,57523
1998,21 years,394319,376832,63779,62602
1998,22 years,384573,369665,71959,68448
1998,23 years,371692,356034,79133,73845
1998,24 years,377650,364202,84195,78437
1998,25 years,384136,371150,88585,81154
1998,26 years,432850,416665,92463,82467
1998,27 years,493033,473028,93522,81980
1998,28 years,518848,499001,100184,82112
1998,29 years,570109,546504,98589,80154
1998,30 years,606012,581585,97255,76411
1998,31 years,630673,606837,90920,70843
1998,32 years,649831,625645,94512,70618
1998,33 years,657716,630304,95413,68793
1998,34 years,672699,647624,92078,65477
1998,35 years,673042,649593,86717,60792
1998,36 years,654501,633245,80114,57560
1998,37 years,651548,632061,69620,52162
1998,38 years,628481,611680,73666,54511
1998,39 years,615996,596545,64317,49713
1998,40 years,585036,566736,62461,47330
1998,41 years,575412,558924,59903,45054
1998,42 years,559313,544940,60729,47005
1998,43 years,545339,530131,55849,47820
1998,44 years,538321,526069,50621,47953
1998,45 years,524280,514028,45638,46405
1998,46 years,525551,514394,46398,49475
1998,47 years,517394,508347,44447,45488
1998,48 years,516884,508199,50771,51057
1998,49 years,500756,491299,51026,47772
1998,50 years,458307,450957,51941,45618
1998,51 years,428838,428431,51796,42352
1998,52 years,375486,377329,47809,37797
1998,53 years,330436,338111,43299,34248
1998,54 years,457435,463286,41100,31972
1998,55 years,469607,474401,40007,29097
1998,56 years,454917,463060,41541,28740
1998,57 years,560691,573125,38346,25666
1998,58 years,589813,608954,41522,27314
1998,59 years,580711,603921,37495,23821
1998,60 years,540902,566328,34793,22838
1998,61 years,504937,532789,30792,20251
1998,62 years,490596,525458,27272,18184
1998,63 years,474882,511928,22916,15892
1998,64 years,438417,479002,22275,14447
1999,15 years,417489,396634,44836,41091
1999,16 years,420849,400838,45976,41292
1999,17 years,431003,409766,50587,44648
1999,18 years,425963,408342,54589,48553
1999,19 years,428395,410554,57406,54294
1999,20 years,405920,388346,59722,57798
1999,21 years,400450,383362,63218,61121
1999,22 years,396450,380024,67365,66246
1999,23 years,386445,372791,75244,71221
1999,24 years,373545,359027,82063,76034
1999,25 years,379388,367121,86108,79703
1999,26 years,386456,373904,89214,81680
1999,27 years,434731,419215,92534,82732
1999,28 years,494692,475332,92913,81781
1999,29 years,520623,501043,98579,81807
1999,30 years,571866,548456,96605,79397
1999,31 years,607755,583782,95138,75583
1999,32 years,632185,608259,88500,69867
1999,33 years,651634,627366,91158,69250
1999,34 years,659560,632106,91798,67395
1999,35 years,674745,649534,88658,64337
1999,36 years,674719,651280,83480,59571
1999,37 years,656182,634886,77206,56598
1999,38 years,652719,633419,67337,51248
1999,39 years,630101,613390,71145,53424
1999,40 years,616825,597988,62549,48776
1999,41 years,585790,567955,60814,46507
1999,42 years,576094,559875,58041,44406
1999,43 years,559827,545867,58714,46145
1999,44 years,545498,531069,54046,46901
1999,45 years,538486,526975,48974,47101
1999,46 years,523862,514603,44495,45597
1999,47 years,524867,514921,45165,48568
1999,48 years,516607,508773,43400,44674
1999,49 years,515827,508408,49358,50133
1999,50 years,499622,491378,49699,47056
1999,51 years,457054,450749,50453,44935
1999,52 years,427240,427873,50515,41929
1999,53 years,373898,376641,46708,37318
1999,54 years,328804,337361,42256,33755
1999,55 years,454535,461928,40052,31470
1999,56 years,466162,472831,38971,28718
1999,57 years,451513,461536,40584,28357
1999,58 years,555947,570991,37488,25355
1999,59 years,584362,606521,40508,27067
1999,60 years,574491,601178,36139,23389
1999,61 years,534495,563504,33472,22445
1999,62 years,498323,529997,29800,19962
1999,63 years,483264,522232,26368,17877
1999,64 years,466879,508177,22116,15788
2000,15 years,420350,400219,43689,40756
2000,16 years,419679,398779,45044,40798
2000,17 years,422748,402942,46453,41487
2000,18 years,433204,412089,50429,46314
2000,19 years,428390,411304,55188,52570
2000,20 years,431037,413938,59386,59045
2000,21 years,408118,391226,61470,62043
2000,22 years,402454,386020,66118,65748
2000,23 years,398157,382574,70601,70258
2000,24 years,388364,375451,77951,74298
2000,25 years,375544,361506,83743,78021
2000,26 years,381406,369458,86746,80635
2000,27 years,388644,376215,88799,82316
2000,28 years,436916,421252,91697,83021
2000,29 years,496682,477171,91713,81774
2000,30 years,522557,502997,96590,81443
2000,31 years,573746,550275,94376,78454
2000,32 years,609548,585469,92450,74732
2000,33 years,633823,609788,85796,68906
2000,34 years,653652,629067,88126,68044
2000,35 years,661627,633679,88562,66137
2000,36 years,676940,651161,85297,63183
2000,37 years,676649,652783,80308,58424
2000,38 years,658157,636364,74112,55457
2000,39 years,654205,634682,64748,50353
2000,40 years,631426,614784,68486,52626
2000,41 years,617848,599164,60494,47960
2000,42 years,586437,569061,58805,45793
2000,43 years,576534,560696,56373,43754
2000,44 years,560056,546609,56810,45481
2000,45 years,545533,531805,52517,46175
2000,46 years,538091,527494,47712,46498
2000,47 years,523237,514974,43311,44960
2000,48 years,523930,515129,44126,47953
2000,49 years,515364,508870,42386,44242
2000,50 years,514547,508355,48126,49670
2000,51 years,498098,490980,48477,46536
2000,52 years,455414,450247,49351,44431
2000,53 years,425410,427267,49421,41516
2000,54 years,371890,375871,45658,36883
2000,55 years,326747,336442,41319,33441
2000,56 years,451238,460347,39201,31067
2000,57 years,462439,471001,38180,28351
2000,58 years,447640,459723,39675,28039
2000,59 years,550404,568708,36771,25119
2000,60 years,578100,603775,39325,26570
2000,61 years,567674,598193,35063,22995
2000,62 years,527435,560340,32576,22103
2000,63 years,491215,526969,28909,19691
2000,64 years,475549,518606,25496,17581
2001,15 years,437006,415952,45353,41907
2001,16 years,422430,402340,45447,41195
2001,17 years,421631,400971,46898,41445
2001,18 years,424947,405221,48288,43770
2001,19 years,435692,414980,53521,51633
2001,20 years,430764,414514,59322,58599
2001,21 years,433168,416812,63909,64866
2001,22 years,409978,393775,67301,68268
2001,23 years,404075,388480,72399,71655
2001,24 years,399835,384929,76374,75094
2001,25 years,390176,377718,82785,77873
2001,26 years,377427,363799,87595,80633
2001,27 years,383430,371692,89435,82874
2001,28 years,390810,378162,90391,83864
2001,29 years,439058,423249,92442,84234
2001,30 years,498541,479036,91531,82599
2001,31 years,524534,504752,96317,82053
2001,32 years,575597,551994,93334,78627
2001,33 years,611406,587196,90907,74716
2001,34 years,635413,611328,84347,68910
2001,35 years,655409,630740,86245,67734
2001,36 years,663379,635202,86423,65666
2001,37 years,678795,652590,82957,62557
2001,38 years,678408,654092,78202,57988
2001,39 years,659611,637616,72350,55097
2001,40 years,655111,635861,63150,50141
2001,41 years,632503,615963,66815,52349
2001,42 years,618190,600168,58970,47703
2001,43 years,586774,570045,57322,45395
2001,44 years,576733,561395,55052,43427
2001,45 years,560052,547200,55389,45221
2001,46 years,545260,532327,51153,45933
2001,47 years,537314,527858,46433,46160
2001,48 years,522285,515128,42250,44652
2001,49 years,522845,515120,43031,47581
2001,50 years,514112,508692,41294,43924
2001,51 years,512921,508055,47121,49288
2001,52 years,496361,490543,47399,46282
2001,53 years,453498,449567,48354,44138
2001,54 years,423413,426415,48536,41217
2001,55 years,369628,374927,44860,36622
2001,56 years,324540,335394,40574,33216
2001,57 years,447562,458626,38400,30766
2001,58 years,458338,469140,37431,28067
2001,59 years,443555,457901,38896,27715
2001,60 years,544478,566246,35748,24783
2001,61 years,571355,600778,38178,26113
2001,62 years,560479,594979,34133,22642
2001,63 years,520177,557122,31662,21878
2001,64 years,483718,523519,28104,19514
2002,15 years,445879,421410,47688,44443
2002,16 years,438909,417926,46106,42178
2002,17 years,424060,404240,46402,41836
2002,18 years,423710,403114,47603,43473
2002,19 years,427320,408110,50257,48772
2002,20 years,437928,418141,56924,56940
2002,21 years,432832,417378,62528,63704
2002,22 years,434798,419311,68557,70137
2002,23 years,411502,396078,72182,73223
2002,24 years,405547,390571,76827,75915
2002,25 years,401344,386862,79642,78161
2002,26 years,391830,379601,84954,79878
2002,27 years,379337,365744,88811,82277
2002,28 years,385396,373542,90062,84124
2002,29 years,392948,380033,90114,84745
2002,30 years,441083,425136,91550,84765
2002,31 years,500364,480800,90312,82601
2002,32 years,526460,506413,95031,82057
2002,33 years,577392,553767,91340,78210
2002,34 years,612978,588662,88715,74331
2002,35 years,636798,612629,82331,68429
2002,36 years,657088,632048,83798,67011
2002,37 years,665054,636577,83956,64968
2002,38 years,680442,653892,80208,61921
2002,39 years,679681,655270,75845,57430
2002,40 years,660707,638657,70172,54662
2002,41 years,655709,636814,61370,49767
2002,42 years,633141,616880,64964,51924
2002,43 years,618507,600752,57431,47332
2002,44 years,586888,570448,55690,45188
2002,45 years,576281,561760,53584,43097
2002,46 years,559400,547495,53886,44926
2002,47 years,544520,532536,49831,45616
2002,48 years,536282,527940,45340,45902
2002,49 years,520980,514999,41118,44339
2002,50 years,521326,514894,41993,47244
2002,51 years,512410,508260,40321,43676
2002,52 years,510869,507425,46141,48970
2002,53 years,494056,489877,46587,46003
2002,54 years,451230,448710,47502,43851
2002,55 years,420937,425375,47690,40935
2002,56 years,367085,373793,44157,36310
2002,57 years,322083,334227,39794,32962
2002,58 years,443664,456624,37735,30432
2002,59 years,453855,467121,36763,27784
2002,60 years,439001,455693,37876,27400
2002,61 years,538288,563479,34869,24397
2002,62 years,564127,597446,37233,25784
2002,63 years,552621,591413,33235,22442
2002,64 years,512363,553424,30807,21670
2003,15 years,455358,431996,48677,45308
2003,16 years,447325,422897,48024,44348
2003,17 years,440114,419535,46748,42399
2003,18 years,425590,406070,46836,43183
2003,19 years,425874,405785,48891,47247
2003,20 years,429076,410564,52547,53548
2003,21 years,439399,420362,59261,61432
2003,22 years,434220,419400,65381,68004
2003,23 years,435992,421250,72385,74186
2003,24 years,412672,397770,75277,76745
2003,25 years,406837,392201,78809,78300
2003,26 years,402590,388255,81047,79736
2003,27 years,393130,380876,85487,81414
2003,28 years,380877,367291,88328,83211
2003,29 years,387095,375116,88841,84496
2003,30 years,394490,381545,88742,84721
2003,31 years,442628,426593,89697,84401
2003,32 years,501820,482245,88234,82115
2003,33 years,527780,507784,92581,81392
2003,34 years,578679,554915,88812,77626
2003,35 years,614212,589775,86025,73588
2003,36 years,637704,613385,79613,67675
2003,37 years,658296,632946,80987,66218
2003,38 years,666234,637262,80866,64113
2003,39 years,681167,654587,77725,61054
2003,40 years,680122,655907,73562,56768
2003,41 years,660894,639309,68169,54098
2003,42 years,655482,637181,59579,49306
2003,43 years,632828,617326,63118,51369
2003,44 years,618117,601022,55910,46849
2003,45 years,586336,570624,54319,44772
2003,46 years,575364,561639,52246,42788
2003,47 years,558332,547407,52599,44548
2003,48 years,543140,532406,48638,45249
2003,49 years,534700,527652,44230,45580
2003,50 years,519150,514538,40128,43974
2003,51 years,519515,514428,41009,46840
2003,52 years,510265,507549,39493,43348
2003,53 years,508463,506677,45131,48504
2003,54 years,491232,488933,45736,45734
2003,55 years,448520,447493,46649,43611
2003,56 years,418181,424193,46907,40644
2003,57 years,364284,372375,43454,36087
2003,58 years,319228,332812,39082,32694
2003,59 years,439313,454511,37020,30077
2003,60 years,449064,464717,35855,27340
2003,61 years,434040,453418,36865,26948
2003,62 years,531520,560303,34065,24141
2003,63 years,556402,593877,36110,25389
2003,64 years,544353,587576,32354,22117
2004,15 years,442067,420573,47469,45041
2004,16 years,456867,433317,48526,45106
2004,17 years,448531,424348,47985,44347
2004,18 years,441678,421328,46783,43238
2004,19 years,427886,408886,47550,46338
2004,20 years,427780,408107,50601,51796
2004,21 years,430726,412503,54374,57491
2004,22 years,440958,422164,61311,65263
2004,23 years,435593,421247,67737,71408
2004,24 years,437416,422855,74239,76647
2004,25 years,414112,399106,76310,78322
2004,26 years,408180,393474,79075,78854
2004,27 years,403960,389234,80439,80432
2004,28 years,394667,382118,84536,81646
2004,29 years,382471,368582,86565,83165
2004,30 years,388449,376413,86914,84158
2004,31 years,395699,382981,86254,83801
2004,32 years,444042,428079,87183,83411
2004,33 years,503207,483642,85582,80888
2004,34 years,529239,509130,89606,80147
2004,35 years,579780,556107,85931,76244
2004,36 years,615343,590323,83252,72353
2004,37 years,638602,614090,76815,66516
2004,38 years,659373,633792,77957,65041
2004,39 years,666958,638098,78177,62899
2004,40 years,681497,655093,75339,60005
2004,41 years,680278,656493,71289,55874
2004,42 years,660846,639859,66065,53119
2004,43 years,655088,637651,58074,48536
2004,44 years,632155,617537,61556,50643
2004,45 years,617700,601199,54422,46077
2004,46 years,585609,570669,52940,44173
2004,47 years,574298,561489,50884,42170
2004,48 years,557243,547182,51388,43950
2004,49 years,541738,532057,47513,44788
2004,50 years,532666,527213,43035,45132
2004,51 years,517320,513989,39093,43453
2004,52 years,517248,513764,39954,46290
2004,53 years,507846,506724,38404,42841
2004,54 years,505648,505691,44048,47885
2004,55 years,488292,487857,44600,45145
2004,56 years,445704,446294,45565,43002
2004,57 years,415186,422836,45700,40077
2004,58 years,361303,370925,42343,35567
2004,59 years,316276,331291,38270,32197
2004,60 years,434798,452197,35807,29422
2004,61 years,443954,462323,34721,26659
2004,62 years,428717,450906,35745,26363
2004,63 years,524432,556971,33033,23616
2004,64 years,548366,590113,34818,24815
2005,15 years,449773,426224,45912,43459
2005,16 years,443221,421738,47179,44693
2005,17 years,457835,434530,48067,44901
2005,18 years,449561,425761,47641,45050
2005,19 years,443441,423603,47175,46025
2005,20 years,429145,410589,49301,50625
2005,21 years,428828,409354,52743,56297
2005,22 years,431461,413686,57286,62072
2005,23 years,441576,423115,64607,69718
2005,24 years,436242,421959,70283,74921
2005,25 years,438019,423465,76047,79315
2005,26 years,414811,399454,77355,80236
2005,27 years,408830,393724,79535,80548
2005,28 years,404466,389476,80569,81699
2005,29 years,395306,382596,84120,82506
2005,30 years,383321,369201,85838,83736
2005,31 years,389275,377278,86080,84165
2005,32 years,396692,383867,85021,83516
2005,33 years,444854,428946,85686,83060
2005,34 years,503844,484347,84144,80305
2005,35 years,529934,509846,87624,79486
2005,36 years,580155,556538,84239,75495
2005,37 years,615678,590619,81264,71787
2005,38 years,638885,614349,75136,65876
2005,39 years,659315,633989,76395,64532
2005,40 years,666530,638169,77065,62370
2005,41 years,680907,655107,74025,59504
2005,42 years,679589,656448,70158,55406
2005,43 years,660002,639635,65159,52801
2005,44 years,654032,637434,57460,48202
2005,45 years,630958,617279,60859,50343
2005,46 years,616178,600773,53865,45822
2005,47 years,584089,570251,52414,43892
2005,48 years,572541,560891,50360,41977
2005,49 years,555281,546569,50918,43745
2005,50 years,539619,531294,46951,44586
2005,51 years,530277,526419,42684,44810
2005,52 years,514727,513106,38658,43112
2005,53 years,514540,512592,39478,45970
2005,54 years,504730,505422,37999,42594
2005,55 years,502292,504282,43481,47526
2005,56 years,484670,486220,44055,44788
2005,57 years,442329,444724,44823,42564
2005,58 years,411655,421244,45070,39703
2005,59 years,357908,369249,41734,35140
2005,60 years,313002,329595,37373,31739
2005,61 years,429922,449529,34946,28924
2005,62 years,438336,459451,33947,26157
2005,63 years,422950,448125,34809,25874
